"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue","Chargeback Ratio"
2,"AB Do",https://dokobit.com,EUR,"SaaS, Writing and blogging",,"very high",6080.89,34.70,0.00
4,"AB Kr",https://hostika.lt,EUR,SaaS,,"very high",166.40,10.77,0.00
8,"AB VS",https://vs-sport.lt,EUR,"Sports equipment",,"very high",252.38,3.28,0.00
13,"AB Sp",https://superfanas.lt,EUR,"Clothing and shoes",,"very high",515.24,52.19,0.00
15,"AB MO",https://dianavapsve.lt,EUR,"Clothing and shoes",,"very high",2001.45,85.00,0.00
21,"AB Cf",https://cflow.lt,EUR,"Service subscriptions",,"very high",2715.52,417.00,0.00
35,"AB ""I",https://tablein.com,USD,"Marketing and advertising",,"very high",1683.35,66.71,0.00
35,"AB ""I",https://tablein.com,GBP,"Marketing and advertising",,"very high",1267.75,122.92,0.00
35,"AB ""I",https://tablein.com,EUR,"Marketing and advertising",,"very high",5257.22,108.03,0.00
37,"AB ST",https://clustspace.com,EUR,SaaS,,"very high",200.69,1.22,0.00
52,"AB La",https://tapetuparduotuve.lt,EUR,"Household supplies",,"very high",151.01,2.33,0.00
56,"AB Gė","https://gelesinternetu.eu, https://geliubutikelis.lt",EUR,"Flowers and gifts",,"very high",151.80,45.68,0.00
69,"AB 9 ",https://gerilesiai.lt,EUR,"Beauty and fragrances",,"very high",3987.55,102.25,0.00
70,"AB 9 ",https://visaslecas.lv,EUR,"Beauty and fragrances",,"very high",1985.37,53.74,0.00
71," line",https://headlaatsed.ee,EUR,"Beauty and fragrances",,"very high",180.24,9.15,0.00
77,"AB A ",https://2ru2ra.com,EUR,"Clothing and shoes",,"very high",405.00,39.13,0.00
96,"AB NO",https://store.eset.lt,EUR,"Software development",,"very high",1172.67,300.71,0.00
103,"AB Ba",https://medikos.lt,EUR,"Beauty and fragrances",,"very high",444.13,42.75,0.00
122,"B ""Nu",https://vizslatea.com,EUR,"Pet supplies",,"very high",5545.27,182.26,0.00
126,"omas ","http://watch-alpha.eu, https://alpha-1993.com",EUR,Accessories,,"very high",1623.48,33.50,0.00
132,"AB Sp",https://expedition.lt,EUR,"Sports equipment",,"very high",1186.30,67.53,0.00
136,"AB Od",https://e-galanterija.lt,EUR,Accessories,,"very high",1988.49,87.49,0.00
143,"V Dai",https://zuikiopastas.lt,EUR,"Writing and blogging",,"very high",929.00,61.48,0.00
149,"O Gel","https://gelbekitvaikus.lt, https://parama-vaikams.w-i.lt, https://parama.gelbekitvaikus.lt",EUR,"Charities/nonprofit organizations",,"very high",425.00,16.67,0.00
163,"AB Ma",https://laistymoiranga.lt,EUR,"Gardening goods",,"very high",0.00,0.00,0.00
164,"AB ""A",https://lpg-shop.com,EUR,Electronics,,"very high",80.00,9.57,0.00
166,"AB SP",https://sportcup.lt,EUR,"Sports equipment",,"very high",35.30,1.20,0.00
168,"AB Ch","http://cherryservers.com, https://cherryservers.com",USD,"Web hosting",,"very high",18271.99,762.78,0.00
168,"AB Ch","http://cherryservers.com, https://cherryservers.com",EUR,"Web hosting",,"very high",13621.69,331.00,1.45
181,"š? ""J",https://jaunimolinija.lt,EUR,"Charities/nonprofit organizations",,"very high",74.00,2.51,0.00
185,"AB Da",https://dalinuosi.lt,EUR,"Booking and reservations",,"very high",2975.47,23.15,0.00
187,"AB Kv",https://urbanfood.lt,EUR,"Food and drinks",,"very high",75.37,9.37,0.00
197,"AB Do",https://dokobit.com,EUR,"SaaS, Writing and blogging",,"very high",2457.77,43.41,0.00
203,"reek ","http://new.olivegarden.gr, https://olivegarden.gr",EUR,"Beauty and fragrances",,"very high",3842.05,89.60,0.00
214,"AB Vy","http://vytishop.lt, https://vytishop.com",EUR,"Household supplies",,"very high",63.46,4.27,0.00
226,"AB Ju",https://buypenimaster.com,EUR,"Adult products",,"very high",294.50,9.77,0.00
