"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue","Chargeback Ratio"
245,"eva F",https://jevafashion.com,GBP,"Clothing and shoes",,"very high",0.00,18.15,0.00
262,".V So",https://silkokerai.lt,EUR,"Clothing and shoes",,"very high",214.00,1.65,0.00
269,risti,https://xlash.lt,EUR,"Beauty and fragrances",,"very high",59.90,0.50,0.00
270,"ARL V",https://evozen.fr,EUR,"Online courses and tutoring",,"very high",10801.50,352.20,0.00
294,"AB Pr",https://inglotkosmetika.lt,EUR,"Beauty and fragrances",,"very high",101.80,5.28,0.00
304,ondin,https://mondinion.com,EUR,"Booking and reservations, Marketing and advertising",,"very high",0.00,0.00,100.00
305,"AB ""K",https://lietuviskaatributika.lt,EUR,Accessories,,"very high",62.10,5.83,0.00
310,"AB B ","https://moerie.com, https://moerie.lt",EUR,"Beauty and fragrances",,"very high",170.00,0.50,0.00
319,louni,https://vohippo.com,EUR,"Mobile pre-paid card credits",,"very high",3091.61,113.49,0.00
322,"AB FA",https://auksomeistrai.lt,EUR,Accessories,,"very high",565.50,21.64,0.00
324,"AB ""S",https://cattool.eu,EUR,SaaS,,"very high",417.00,22.15,0.00
325,riori,https://priorityprospect.com,USD,"Software development",,"very high",3246.58,212.18,0.00
326,"VOS T","https://reparexshop.co.uk, https://reparexshop.com",GBP,"Beauty and fragrances",,"very high",998.82,15.00,0.00
327,udget,https://budgettyres.ie,EUR,"Car parts/ accessories",,"very high",376.00,0.50,0.00
334,"TQ GR",https://orhidejashop.com,EUR,"Clothing and shoes",,"very high",316.23,82.84,0.00
352,"AB ""P",https://freshup.lt,EUR,"Food and drinks",,"very high",28.32,13.21,0.00
361,oluco,https://sessointimo.it,EUR,"Adult products",,"very high",31.30,1.96,0.00
395,valda,https://lasercutjewelry.net,USD,Accessories,,"very high",93.01,17.29,0.00
403,"AB GR","https://garderoba-green-rose.pl, https://green-rose.eu, https://green-rose.fr, https://green-rose.lt, https://green-rose.uk.com",GBP,"Clothing and shoes",,"very high",222.50,18.16,0.00
403,"AB GR","https://garderoba-green-rose.pl, https://green-rose.eu, https://green-rose.fr, https://green-rose.lt, https://green-rose.uk.com",EUR,"Clothing and shoes",,"very high",1583.35,65.93,0.00
412,NTELL,"https://everdo.net, https://unserver.xyz",EUR,SaaS,,"very high",643.92,18.67,0.00
424,aroli,"https://bosolighters.com, https://jacobcolinn.lt",EUR,Accessories,,"very high",5253.66,194.43,0.00
432,aniel,"https://87.network, https://dubaiescorts.club",EUR,"Escort Advertising",,Low,260.00,2.25,0.00
435,MEDIA,"http://hotmasseur.com, https://hotmasseur.com, https://hotmasseuse.com, https://hushmassage.com",USD,"Adult entertainment, Marketing and advertising",,Medium,1123.50,94.45,0.00
440,"AB Li",https://lovelin.lt,EUR,Homeware,,Low,1736.89,0.00,0.00
453,rbori,https://nuovaerboristeria.it,EUR,"Vitamins and food supplements",,Low,3298.37,104.18,0.00
458,arkIT,"https://ausflügelanzarote.com, https://ausflügelanzarote.de, https://excursioneslanzarote.es, https://excursionsfuerte.com, https://excursionsgrancan.com, https://excursionslanzarote.com, https://phonezapp.com, https://travelon.world, https://travelonshop.com",EUR,"Booking and reservations, Electronics, Gadgets","4722, 5399",Low,12603.85,84.02,0.00
460,"NBS O","https://shmassy.com, https://simplynotebooks.eu",EUR,Stationery,,Low,84.55,1.00,0.00
479,"avid ",https://escortsabc.com,EUR,"Escort Advertising",,Low,168.00,20.81,0.00
486,"AB ""S","https://skinlovers.lt, https://stiliusbox.lt",EUR,"Beauty and fragrances, Goods subscriptions",,Low,3255.14,127.42,0.00
488,"tar I",https://ninjabet.it,EUR,Games,,Medium,14028.33,1802.19,0.00
509,"MO TE",https://smooci.com,USD,"Escort Advertising",,Medium,19656.16,288.90,0.00
509,"MO TE",https://smooci.com,GBP,"Escort Advertising",,Medium,177.69,20.44,0.00
509,"MO TE",https://smooci.com,EUR,"Escort Advertising",,Medium,20.90,0.60,0.00
514,odevl,"https://any.cab, https://cabsdirect.eu",EUR,"Taxi and transportation services",,Low,194.90,2.83,0.00
528,ONTAC,"https://contactum.eu, https://wellis-spas.si",EUR,"Home appliances",,Low,0.00,9.31,0.00
558,umita,https://sumita.com,EUR,"Beauty and fragrances",,Low,111.00,3.74,0.00
562,manue,https://ca-serv.com,USD,"Adult entertainment",,Low,96.86,0.00,0.00
564,uvial,https://nuvialab.com,GBP,"Vitamins and food supplements",,Low,1824.35,288.78,0.00
564,uvial,https://nuvialab.com,EUR,"Vitamins and food supplements",,Low,32482.98,3185.72,0.56
566,"ldas ",https://chinapart.eu,EUR,"Car parts/ accessories",,Low,503.00,22.42,0.00
570,"AB ""G",https://amberworldlt.com,EUR,Accessories,,Low,132.60,8.58,0.00
579,"šĮ Ba",https://balarama.lt,EUR,"Charities/nonprofit organizations",,Low,15.00,0.00,0.00
581,ixwor,https://bulletvpn.com,USD,SaaS,,High,1262.31,555.69,0.00
584,utris,"https://babesvitamins.es, https://babesvitamins.hr, https://babesvitamins.it, https://babesvitamins.sk, https://colageno-pele.pt, https://collagene-skin.it, https://curcuma.naturesfinest.it, https://depurarefegato.it, https://figado-saudavel.pt, https://figadosaudavel.naturesfinest.pt, https://hair-vitamins.uk, https://hairvitamins.cz, https://hairvitamins.it, https://higado-saludable.es, https://higadosaludable.naturesfinest.es, https://kurkuma.naturesfinest.si, https://liver-detox.uk, https://liverdetox.cz, https://liverdetox.de, https://nailvitamins.naturesfinest.si, https://naturesfinest.hr, https://naturesfinest.it, https://naturesfinest.si, https://skinlift.cz, https://tea-tox.it, https://teatox.si, https://tiroidesana.it, https://zdrava-jetra.si",EUR,"Beauty and fragrances, Food and drinks, Vitamins and food supplements",,Low,1315.76,167.52,0.00
597,"AB ""G",https://saulesgele.lt,EUR,"Flowers and gifts",,Low,233.00,21.23,0.00
599,lobal,https://herbadetox.com,EUR,"Food and drinks",,Low,21.17,2.99,0.00
605,uvial,https://nuvialab.com,USD,"Vitamins and food supplements",,Low,3594.72,297.66,0.00
605,uvial,https://nuvialab.com,EUR,"Vitamins and food supplements",,Low,665.24,351.41,0.00
606,"OA En","https://sofiagray.com, https://sofiasins.com",USD,"Adult products","5999, 7399",Low,15662.78,8120.54,1.27
606,"OA En","https://sofiagray.com, https://sofiasins.com",GBP,"Adult products","5999, 7399",Low,2841.05,866.36,2.23
606,"OA En","https://sofiagray.com, https://sofiasins.com",EUR,"Adult products","5999, 7399",Low,752.61,239.90,0.00
610,"šĮ ""K",https://atviraklaipeda.lt,EUR,"Charities/nonprofit organizations",,Low,126.00,11.21,0.00
611,"AB ""T",https://bedroommood.com,EUR,Homeware,,Low,4959.60,424.55,0.00
615,"sI Tu",https://tustinarvai.lt,EUR,"Charities/nonprofit organizations",,Low,2580.54,89.70,0.00
619,ustin,"https://autodiagnostikosiranga.lt, https://diagscantools.com, https://obdeleven.pro",EUR,Electronics,,Low,650.45,0.50,0.00
620,"NFO I","https://kartusa-toner.si, https://kulshop.si, https://top-igrace.si",EUR,"Baby and children products, Electronics",,Low,79.97,4.84,0.00
630,"evin ","https://babylontraffic.com, https://serpempire.com",USD,"Marketing and advertising",,Medium,6540.07,283.17,0.00
630,"evin ","https://babylontraffic.com, https://serpempire.com",EUR,"Marketing and advertising",,Medium,2468.71,40.14,0.00
634,"AB ""M",https://zaliaarbata.lt,EUR,"Food and drinks",,Low,13.00,0.50,0.00
637,"uzz R","https://buysocialmediamarketing.com, https://buzzvoice.com",USD,"Marketing and advertising",,High,56375.42,11652.72,0.02
648,"AB Sp","https://1010.sil.lt, https://shop.lympo.com, https://sil.lt",EUR,"Clothing and shoes",,High,4707.71,178.42,0.00
649,"IA ""A",https://ardparts.lv,EUR,"Car parts/ accessories",,Low,428.47,0.50,0.00
651,ONMAR,https://kommons.com,USD,"Escort Advertising",,Low,22.50,0.00,0.00
651,ONMAR,https://kommons.com,GBP,"Escort Advertising",,Low,19777.37,2896.78,0.61
652,ietuv,https://redcross.lt,EUR,"Charities/nonprofit organizations",,Low,360.00,18.29,0.00
655,"AB ""K",https://kokosmile.lt,EUR,"Beauty and fragrances",,Low,886.14,370.85,0.00
660,igita,"https://artsomeness.com, https://exitbar.io",USD,"Adult entertainment, Adult Video, SaaS","7273, 7399",Low,0.00,0.50,0.00
666,"nga M",https://parpochel.com,EUR,Accessories,,Low,95.00,0.33,0.00
667,injab,"https://ninja-bet.de, https://ninjabet.es",EUR,Games,,Low,1793.22,110.20,0.00
677,"B ""Ja",https://petscomfortdesign.com,EUR,"Pet supplies",,Low,9.84,1.92,0.00
686,efixe,"https://libidex.eu, https://viamax.eu, https://vibrolandia.com, https://vibrolandia.es",EUR,"Adult products",,Low,21708.45,162.50,0.00
690,"esna ",https://endovital.com,EUR,"Food and drinks",,Low,155.10,5.54,0.00
692,"AB Si",https://buboo.eu,EUR,"Clothing and shoes",,Low,147.47,6.39,0.00
696,iedri,"https://coinwink.com, https://cryptoclothing.cc, https://cryptologos.cc, https://protected.design",USD,"Clothing and shoes, SaaS",,Low,120.00,3.58,0.00
702,"AB ""D","https://eroklubas.lt, https://pazintys.draugas.lt",EUR,Dating,,Low,1962.00,197.63,0.00
713,"eb No","https://eurogirlescort.it, https://eurogirlsescort.com, https://eurogirlsescort.cz, https://eurogirlsescort.de, https://eurogirlsescort.es, https://eurogirlsescort.fr, https://eurogirlsescort.ru, https://eurogirlsescort.sp, https://freeescortsite.com, https://worldescortindex.com",USD,"Escort Advertising",,Low,0.00,42.67,0.00
713,"eb No","https://eurogirlescort.it, https://eurogirlsescort.com, https://eurogirlsescort.cz, https://eurogirlsescort.de, https://eurogirlsescort.es, https://eurogirlsescort.fr, https://eurogirlsescort.ru, https://eurogirlsescort.sp, https://freeescortsite.com, https://worldescortindex.com",EUR,"Escort Advertising",,Low,49596.00,2553.97,0.00
722,leepy,"https://allgaytoys.com, https://shop.sleepyboy.com/categories.php, https://sleepyboy.com",GBP,"Adult products, Escort Advertising","5399, 7311",Low,11092.27,286.25,0.00
733,ugust,https://thekoty.com,EUR,Accessories,,Low,775.63,51.67,0.00
738,SDMed,"https://londonts.com, https://niamodel.com, https://ts-dating.com",EUR,"Escort Advertising",,Medium,27864.70,1869.82,0.00
758,reenB,"https://forzapiu.com, https://vigoking.com, https://viriplus.com",EUR,"Vitamins and food supplements",,High,14935.85,390.87,0.00
760,"AB ""S",https://silart.eu,EUR,"Beauty and fragrances",,Low,1031.23,0.00,0.00
761,"B ""Lė",https://lemodus.lt,EUR,"Clothing and shoes",,Low,213.00,22.67,0.00
762,"AB EN","https://ilmondodegliorsacchiotti.it, https://meskinupasaulis.lt, https://myteddyworld.com",EUR,"Baby and children products",,Low,2229.23,94.37,0.00
763,vatar,"https://unicornorosa.it, https://yoxo.it",EUR,"Adult products",,Low,22474.88,835.71,0.00
768,inger,https://gtg.com.pl,EUR,Accessories,,Low,82.02,1.00,0.00
770,"AB ""H",https://mjrever.com,EUR,"Clothing and shoes",,Low,6096.10,241.43,0.00
774,"AB ""N",https://lietuviskigaminiai.lt,EUR,"Clothing and shoes",,Low,1139.96,5.81,0.00
784,"onas ",https://floristikosnamai.lt,EUR,"Arts, crafts, and collectibles",,Low,23.00,0.50,0.00
786,"AB Au","https://autowin.com, https://autowin.eu, https://winauto.eu",EUR,"Car parts/ accessories",,Low,32.03,50.50,0.00
787,"I SPO","https://eureka-shop.cz, https://eurekashop.hr, https://eurekashop.si",EUR,"Beauty and fragrances",,Low,272.90,1.52,0.00
790,"AB El",https://elintacharge.com,EUR,Electronics,,Low,1526.70,38.54,0.00
795,oonbu,https://escort-europe.com,EUR,"Escort Advertising",,Low,1104.00,39.10,2.61
796,"AB Ei",https://canni.lt,EUR,"Beauty and fragrances",,Low,611.30,26.90,0.00
798,"AB ""V",https://vasco.lt,EUR,"Beauty and fragrances",,Low,119.00,12.97,0.00
803,amjan,https://negaroknohtov.si,EUR,"Beauty and fragrances",,Low,184.83,18.65,0.00
811,ervis,"https://corner69.com, https://corner69.hr, https://flirty.si, https://svetuzitka.com",EUR,"Adult products, Clothing and shoes",,Low,3538.30,553.13,0.00
830,ivovi,"https://vivozebra.si, https://vivozebra.sk",EUR,"Beauty and fragrances",,Low,5024.07,610.01,0.00
839,rysta,"https://dorotafilipiuk.pl, https://robertmarchel.com",EUR,"Online courses and tutoring",,Low,1718.10,191.07,0.00
841,uroHo,https://eurohoster.org,EUR,SaaS,,High,4386.82,0.00,0.00
845,"MM se","https://kickliker.com, https://postimat.com, https://socialdroid.eu, https://tagimat.com",USD,"Marketing and advertising, SaaS",,Low,6241.01,231.74,0.00
845,"MM se","https://kickliker.com, https://postimat.com, https://socialdroid.eu, https://tagimat.com",EUR,"Marketing and advertising, SaaS",,Low,24.00,0.00,0.00
847,"AB ""S",https://stamperija.eu,EUR,"Arts, crafts, and collectibles",,Low,799.32,5.89,0.00
849,uadag,https://guadagnomatematico.it,EUR,"Online courses and tutoring",,Low,1907.00,449.24,0.00
855,"AB ""K",https://ekoled.com,EUR,"Household supplies",,Low,40.96,0.50,0.00
856,"B ""Au",https://moonstruckstore.com,EUR,Accessories,,Low,1303.21,24.32,0.00
857,ok'ca,https://mokca.si,EUR,"Food and drinks",,Low,210.71,35.64,0.00
861,"RM Gl","https://amztigers.com, https://amztigers.de",EUR,"Marketing and advertising",,Medium,11991.43,0.50,1.27
862,injab,https://ninja-bet.de,EUR,Games,,Low,499.50,40.13,0.00
873,astig,https://licenzeprogrammi.com,EUR,"Computers, accessories, and services",,Low,866.04,1.48,0.00
879,inila,https://lanaerunt.com,EUR,"Clothing and shoes",,Low,292.50,5.50,0.00
883,urzem,https://kurzemesseklas.lv,EUR,"Gardening goods",,Low,82.72,6.28,0.00
884,nfoga,https://arkhavencomics.com,USD,"Books and magazines",,Medium,239.71,203.66,6.67
890,"oana ",https://vielaclothing.com,EUR,"Clothing and shoes",,Low,105.00,0.50,0.00
892,ymbio,https://m.lushstories.com,USD,"Adult entertainment",,Medium,860.40,0.00,0.00
893,axiwe,https://wristbands.eu.com,EUR,Entertainment,,Low,1101.17,0.50,0.00
896,"comp ",https://mcomp.si,EUR,"Computers, accessories, and services",,Low,34.34,18.19,0.00
898,"4 WEB","https://bissoubeauty.com, https://cartflip.ro, https://mistermega.cz, https://mistermega.eu, https://mistermega.gr, https://mistermega.hr, https://mistermega.hu, https://mistermega.it, https://mistermega.si, https://mistermega.sk",EUR,"Beauty and fragrances, Home appliances",,Low,2267.26,257.70,0.00
904,imple,"https://automarketer.pro, https://instafamous.pro, https://instantviews.co",USD,"Marketing and advertising",,Medium,6514.00,30.00,0.18
905,rsual,https://bygentlemen.com,EUR,Dating,,Low,0.00,2.78,0.00
912,"IA NO",https://esetnod32.lv,EUR,"Service subscriptions",,Low,649.86,62.99,0.00
921,"B ""Ja","https://babydreams.lt, https://bentleytrikes.com",EUR,"Baby and children products",,Low,362.75,0.50,0.00
926,"AB ""L",https://oxsic.com,EUR,SaaS,,Low,507.25,1.79,0.00
932,iovan,https://taxileader.net,EUR,"Taxi and transportation services",,Low,9374.87,0.00,0.00
936,"AB ""N","https://prezervativi.lv, https://sargiai.lt",EUR,"Adult products",,Low,782.11,38.98,0.00
938,"ince ","https://skweezer.net, https://verifiedbadge.co",USD,"Marketing and advertising",,Low,52035.95,100.00,1.05
939,"AB ""Š",https://tipsyapp.net,EUR,SaaS,,Medium,101.50,75.00,0.00
941,"MM se","https://roximat.com, https://teerex.net",USD,"Clothing and shoes, Web hosting","5399, 7399",Low,36.00,34.64,0.00
946,"AB ""S","https://cupolus.co.uk, https://cupolus.lt",EUR,"Home appliances, Household supplies",,Low,89.73,1.26,0.00
949,"AB ""V",https://forlashes.com,EUR,"Beauty and fragrances",,Medium,1751.18,23.21,0.00
951,"B ""So","https://agoratees.com, https://bestgottees.com, https://bloomtees.com",USD,"Clothing and shoes",,Low,40.99,2.11,0.00
952,"AB ""A",https://indivi.lt,EUR,Accessories,,Low,604.00,3.86,0.00
953,"AB ""N",https://namutekstile.lt,EUR,"Home appliances",,Low,281.99,22.28,0.00
958,"AB ""V","https://babydo.ee, https://babydo.lt, https://babydo.lv",EUR,"Clothing and shoes",,Low,631.31,26.10,0.00
961,"ui Ma",https://sacamainenliege.com,EUR,Accessories,,Low,1076.00,0.00,0.00
981,"AB ""E",https://stockinvest.us,USD,Memberships,,Low,565.33,44.51,6.67
990,"AB ""K",https://wowflowers.lt,EUR,"Flowers and gifts",,Low,1495.25,69.18,0.00
998,"y Gho","https://edmwarriors.com, https://ghostloops.com, https://myghostmarket.com, https://piratebeats.com",EUR,Entertainment,,Low,3141.00,35.27,0.00
999,ainor,https://2hd-lashes.fr,EUR,"Beauty and fragrances",,Low,67.52,6.43,0.00
1000,-spec,https://e-kartuse.si,EUR,"Computers, accessories, and services",,Low,237.23,1.00,0.00
1006,eleco,https://surfroam.com,EUR,"Mobile pre-paid card credits",,Low,7769.50,171.34,0.00
1009,ecnik,https://urarstvo-lecnik.si,EUR,Electronics,,Low,1483.80,246.70,0.00
1014,"ed Li","https://red-life.co.uk, https://red-life.com, https://red-life.cz, https://red-life.de, https://red-life.net, https://red-life.pl, https://red-life.ro, https://red-life.sk",EUR,"Escort Advertising",,Low,286.00,52.03,0.00
1017,ainiu,https://uzduociudezute.lt,EUR,Games,,Low,429.82,19.91,0.00
1019,"mrlj,",https://cmrlj.biz,EUR,"Books and magazines",,Low,134.50,20.77,0.00
1020,"AB ""E","https://std-tests.com, https://test2health.com",GBP,"Vitamins and food supplements",,Low,13.48,0.00,0.00
1025,zuvil,"https://vivamodel.be, https://vivamodel.com, https://vivamodel.es, https://vivamodel.fr, https://vivamodel.lu",EUR,"Escort Advertising",,Low,20.00,6.91,0.00
1031,"ida G",https://dardar.lt,EUR,"Clothing and shoes",,Low,221.00,14.62,0.00
1041,drien,https://jumpplusworld.com,EUR,"Sports equipment",,Low,456.65,26.58,0.00
1050,"B ""Ga",https://getfast.lt,EUR,SaaS,,Low,42.87,3.87,0.00
1054,"omas ",https://slimstore.lt,EUR,"Clothing and shoes",,Low,167.90,8.81,0.00
1059,"AB ""V",https://obdeleven.com,USD,Gadgets,,Low,4599.14,574.84,0.00
1059,"AB ""V",https://obdeleven.com,GBP,Gadgets,,Low,956.14,148.26,0.00
1059,"AB ""V",https://obdeleven.com,EUR,Gadgets,,Low,26995.12,1464.02,0.32
1062,"B ""Ne","https://jaakuivaks.ee, https://nesamirksti.lv, https://nesuslapk.lt",EUR,"Home appliances",,Low,715.99,5.16,0.00
1065,ierel,https://nuovagioielleria.it,EUR,Accessories,,Low,2070.04,174.40,0.00
1075,"B ""Kr","https://ecoteething.com, https://teethingtoys.eu",EUR,"Baby and children products",,Low,221.70,0.50,0.00
1078,"AB DE","https://alio.lt, https://delfi.lt",EUR,"Marketing and advertising, Service subscriptions",,Low,2293.16,87.51,0.00
1082,"ed Li","https://red-life.co.uk, https://red-life.de, https://red-life.net",EUR,"Escort Advertising",,Low,3608.00,60.50,0.00
1083,"AB Ev","https://evchargeplus.com, https://evchargeplus.lt, https://evchargeplus.pl",EUR,Electronics,,Low,5016.78,60.04,0.00
1086,Endur,"https://4endurance.hr, https://4endurance.hu, https://4endurance.it, https://4endurance.net, https://4endurance.si, https://gowattsocks.com, https://gowattsocks.si, https://nduranz.com",EUR,"Clothing and shoes, Vitamins and food supplements",,Low,1153.81,245.00,0.00
1088,"B ""Sa",https://smaliziauskrautuvele.lt,EUR,"Food and drinks",,Low,12.98,1.06,0.00
1090,"CUBE ",https://bcubeagency.com,USD,"Marketing and advertising",,Low,2019.72,226.79,0.00
1090,"CUBE ",https://bcubeagency.com,EUR,"Marketing and advertising",,Low,26606.93,1686.91,0.00
1091,"AB Le",https://letenos.lt,EUR,"Pet supplies",,Low,672.26,33.56,0.00
1093,"web M",https://girl-directory.com,USD,"Escort Advertising",,Medium,15028.65,588.49,0.00
1093,"web M",https://girl-directory.com,GBP,"Escort Advertising",,Medium,103.95,4.69,0.00
1093,"web M",https://girl-directory.com,EUR,"Escort Advertising",,Medium,684.60,21.34,0.00
1096,ikkel,https://smm-world.com,USD,"Marketing and advertising",,Low,4214.00,0.00,0.26
1097,"AB Ar",https://artimiausias.lt,EUR,"Food and drinks, Service subscriptions",,Low,139.80,8.29,0.00
1100,uckFe,"https://duckferries.com, https://gilitickets.online",EUR,"Booking and reservations",,Low,4622.57,2.00,0.00
1101,"oxi S",https://roxivpn.com,USD,"Web hosting",,Low,26.50,16.09,0.00
1102,arian,https://varianto25.com,EUR,Accessories,,Low,705.23,6.57,0.00
1104,udriu,https://ali-tools.com,EUR,"Building materials and tools",,Low,419.00,4.91,0.00
1105,J-Inv,"https://sextra.dk, https://sextra.io",EUR,"Escort Advertising, Marketing and advertising",,Low,50.00,0.55,0.00
1106,érola,"https://peroladoprazer.com, https://peroladoprazer.com/",EUR,"Adult products",,Low,433.30,26.74,0.00
1110,"AB Fi",https://filladerm.com,EUR,"Beauty and fragrances",,Low,425.90,29.81,0.00
1117,"AB Tr","https://kedukas.lt, https://parfumesencija.lt",EUR,"Accessories, Beauty and fragrances",,Low,447.52,21.15,0.00
1118,"ME SW",https://naturalpeptides.eu,EUR,"Vitamins and food supplements",,Low,670.00,6.71,0.00
1121,"AB Mo",https://killercustom.com,EUR,Accessories,,Low,868.10,351.69,0.00
1124,auryn,https://bakli.lt,EUR,Accessories,,Low,2196.78,95.70,0.00
1126,"AB Ba",https://barsail.com,EUR,"Food and drinks",,Low,36.45,0.26,0.00
1127,"AB Ol",https://oliver.lt,EUR,"Household supplies",,Low,1483.08,33.53,0.00
1133,"B Inb",https://livebettingstrategies.com,EUR,SaaS,,Low,69.75,1.50,0.00
1134,acliw,"https://prontoappfacile.it, https://socialads.eu",EUR,"Marketing and advertising",,Low,7674.87,762.44,0.00
1138,"AB In",https://provitaminai.lt,EUR,"Vitamins and food supplements",,Low,66.00,2.48,0.00
1140,iveLa,https://tryst.link,EUR,"Escort Advertising",,Medium,18897.00,76.90,0.00
1148,"HC Se",https://thcservers.com,USD,"Web hosting",,Medium,3508.44,125.68,0.00
1151,ONPHA,https://moja-natura.com,EUR,"Beauty and fragrances",,Low,345.83,477.64,0.00
1166,"AB Ex","https://fibreblend.com, https://gamtosklodai.lt",EUR,"Vitamins and food supplements",,Low,32.00,1.49,0.00
1167,NNOVA,https://detailingstorebg.com,EUR,"Car parts/ accessories",,Low,246.44,13.84,0.00
1170,"AB De","https://prezervativ.lv, https://prezervatyvai.com",EUR,"Adult products",,Low,269.01,48.48,0.00
1171,eofil,https://auch.store,EUR,"Clothing and shoes",,Low,85.00,14.89,0.00
