"Merchant ID",Merchant,Website,Currency,"Business Categories",MCC,"Risk Level","Sales Volume","Gross Revenue"
458,arkIT,https://excursionslanzarote.com,EUR,"Booking and reservations, Electronics, Gadgets","4722, 5399",Low,30480.50,269.67
460,"NBS O",https://simplynotebooks.eu,EUR,Stationery,,Low,141.30,1.50
479,"avid ",https://escortsabc.com,EUR,"Escort Advertising",,Low,301.00,37.65
486,"AB ""S",https://stiliusbox.lt,EUR,"Beauty and fragrances, Goods subscriptions",,Low,8263.18,333.92
488,"tar I",https://ninjabet.it,EUR,Games,,Medium,40932.39,1802.19
509,"MO TE",https://smooci.com,USD,"Escort Advertising",,Medium,40167.36,647.20
509,"MO TE",https://smooci.com,GBP,"Escort Advertising",,Medium,268.39,57.51
509,"MO TE",https://smooci.com,EUR,"Escort Advertising",,Medium,92.78,0.95
513,"AB St",https://stiklejewelry.com,EUR,Accessories,,Low,56.85,8.88
514,odevl,https://any.cab,EUR,"Taxi and transportation services",,Low,584.20,2.83
528,ONTAC,https://contactum.eu,EUR,"Home appliances",,Low,0.00,9.31
530,elati,https://relationable.com,USD,"Online courses and tutoring",,Medium,734.00,60.44
558,umita,https://sumita.com,EUR,"Beauty and fragrances",,Low,111.00,3.74
562,manue,https://ca-serv.com,USD,"Adult entertainment",,Low,289.52,0.00
564,uvial,https://nuvialab.com,GBP,"Vitamins and food supplements",,Low,3363.77,576.11
564,uvial,https://nuvialab.com,EUR,"Vitamins and food supplements",,Low,67277.31,6015.82
566,"ldas ",https://chinapart.eu,EUR,"Car parts/ accessories",,Low,983.00,22.42
570,"AB ""G",https://amberworldlt.com,EUR,Accessories,,Low,194.10,17.28
579,"šĮ Ba",https://balarama.lt,EUR,"Charities/nonprofit organizations",,Low,50.00,0.00
581,ixwor,https://bulletvpn.com,USD,SaaS,,High,2885.80,555.69
584,utris,https://teatox.si,EUR,"Beauty and fragrances, Food and drinks, Vitamins and food supplements",,Low,3785.24,359.59
589,"etan ",https://cellulitix.com,USD,"Beauty and fragrances",,Low,122.41,15.00
597,"AB ""G",https://saulesgele.lt,EUR,"Flowers and gifts",,Low,594.00,38.11
599,lobal,https://herbadetox.com,EUR,"Food and drinks",,Low,209.18,2.99
605,uvial,https://nuvialab.com,USD,"Vitamins and food supplements",,Low,9041.49,513.97
605,uvial,https://nuvialab.com,EUR,"Vitamins and food supplements",,Low,1530.22,919.30
606,"OA En",https://sofiagray.com,USD,"Adult products","5999, 7399",Low,30661.97,8120.54
606,"OA En",https://sofiagray.com,GBP,"Adult products","5999, 7399",Low,4937.05,866.36
606,"OA En",https://sofiagray.com,EUR,"Adult products","5999, 7399",Low,1349.91,239.90
610,"šĮ ""K",https://atviraklaipeda.lt,EUR,"Charities/nonprofit organizations",,Low,126.00,11.21
611,"AB ""T",https://bedroommood.com,EUR,Homeware,,Low,8399.14,618.62
615,"sI Tu",https://tustinarvai.lt,EUR,"Charities/nonprofit organizations",,Low,4448.54,259.23
619,ustin,https://autodiagnostikosiranga.lt,EUR,Electronics,,Low,1738.15,1.50
620,"NFO I",https://kulshop.si,EUR,"Baby and children products, Electronics",,Low,79.97,14.44
630,"evin ",https://babylontraffic.com,USD,"Marketing and advertising",,Medium,16796.87,283.17
630,"evin ",https://babylontraffic.com,EUR,"Marketing and advertising",,Medium,4398.58,40.14
634,"AB ""M",https://zaliaarbata.lt,EUR,"Food and drinks",,Low,72.30,0.50
637,"uzz R",https://buysocialmediamarketing.com,USD,"Marketing and advertising",,High,120423.10,11652.72
648,"AB Sp",https://sil.lt,EUR,"Clothing and shoes",,High,10184.91,404.45
649,"IA ""A",https://ardparts.lv,EUR,"Car parts/ accessories",,Low,552.59,1.50
651,ONMAR,https://kommons.com,USD,"Escort Advertising",,Low,22.50,0.00
651,ONMAR,https://kommons.com,GBP,"Escort Advertising",,Low,38116.69,2896.78
652,ietuv,https://redcross.lt,EUR,"Charities/nonprofit organizations",,Low,588.00,42.36
655,"AB ""K",https://kokosmile.lt,EUR,"Beauty and fragrances",,Low,1717.02,611.93
660,igita,https://artsomeness.com,USD,"Adult entertainment, Adult Video, SaaS","7273, 7399",Low,19.98,0.50
666,"nga M",https://parpochel.com,EUR,Accessories,,Low,95.00,0.33
667,injab,https://ninjabet.es,EUR,Games,,Low,3684.57,110.20
677,"B ""Ja",https://petscomfortdesign.com,EUR,"Pet supplies",,Low,9.84,1.92
686,efixe,https://vibrolandia.com,EUR,"Adult products",,Low,42870.16,263.93
690,"esna ",https://endovital.com,EUR,"Food and drinks",,Low,260.10,12.22
692,"AB Si",https://buboo.eu,EUR,"Clothing and shoes",,Low,268.79,7.84
696,iedri,https://coinwink.com,USD,"Clothing and shoes, SaaS",,Low,180.00,3.58
702,"AB ""D",https://eroklubas.lt,EUR,Dating,,Low,5027.00,546.07
707,"AB Va",https://vetparduotuve.lt,EUR,"Pet supplies",,Low,199.30,0.00
713,"eb No",https://eurogirlsescort.com,USD,"Escort Advertising",,Low,0.00,42.67
713,"eb No",https://eurogirlsescort.com,EUR,"Escort Advertising",,Low,94892.00,2553.97
722,leepy,https://sleepyboy.com,GBP,"Adult products, Escort Advertising","5399, 7311",Low,22309.84,492.89
733,ugust,https://thekoty.com,EUR,Accessories,,Low,1748.07,104.63
738,SDMed,https://londonts.com,EUR,"Escort Advertising",,Medium,60148.10,1869.82
758,reenB,https://stimulion.com,EUR,"Vitamins and food supplements",,High,29214.26,390.87
760,"AB ""S",https://silart.eu,EUR,"Beauty and fragrances",,Low,1763.24,0.00
761,"B ""Lė",https://lemodus.lt,EUR,"Clothing and shoes",,Low,327.56,23.67
762,"AB EN",https://meskinupasaulis.lt,EUR,"Baby and children products",,Low,4263.58,184.55
763,vatar,https://yoxo.it,EUR,"Adult products",,Low,43540.43,1562.23
768,inger,https://gtg.com.pl,EUR,Accessories,,Low,194.24,1.00
770,"AB ""H",https://mjrever.com,EUR,"Clothing and shoes",,Low,7634.20,331.60
774,"AB ""N",https://lietuviskigaminiai.lt,EUR,"Clothing and shoes",,Low,1970.66,77.07
784,"onas ",https://floristikosnamai.lt,EUR,"Arts, crafts, and collectibles",,Low,58.00,1.00
786,"AB Au",https://autowin.eu,EUR,"Car parts/ accessories",,Low,52.89,50.50
787,"I SPO",https://eurekashop.si,EUR,"Beauty and fragrances",,Low,833.71,1.52
790,"AB El",https://elintacharge.com,EUR,Electronics,,Low,2537.43,38.54
795,oonbu,https://escort-europe.com,EUR,"Escort Advertising",,Low,2373.00,72.80
796,"AB Ei",https://canni.lt,EUR,"Beauty and fragrances",,Low,1594.00,56.84
798,"AB ""V",https://vasco.lt,EUR,"Beauty and fragrances",,Low,405.00,17.72
803,amjan,https://negaroknohtov.si,EUR,"Beauty and fragrances",,Low,590.27,33.72
808,"AB ""D",https://sipmobile.org,EUR,SaaS,,,0.00,39.62
811,ervis,https://svetuzitka.com,EUR,"Adult products, Clothing and shoes",,Low,6740.27,1085.23
830,ivovi,https://vivozebra.si,EUR,"Beauty and fragrances",,Low,10551.26,610.01
839,rysta,https://robertmarchel.com,EUR,"Online courses and tutoring",,Low,3850.25,191.07
841,uroHo,https://eurohoster.org,EUR,SaaS,,High,9789.31,0.00
845,"MM se",https://kickliker.com,USD,"Marketing and advertising, SaaS",,Low,13554.01,438.32
845,"MM se",https://kickliker.com,EUR,"Marketing and advertising, SaaS",,Low,48.58,0.50
